image_path,xmin,xmax,ymin,ymax,class_id
dataset\0003백색유황앵무\0003_00000543.jpg,58,152,56,127,3
dataset\0003백색유황앵무\0003_00000562.jpg,92,255,21,121,3
dataset\0003백색유황앵무\0003_00000423.jpg,103,247,18,229,3
dataset\0003백색유황앵무\0003_00000404.jpg,34,274,8,97,3
dataset\0003백색유황앵무\0003_00000566.jpg,123,194,73,154,3
dataset\0003백색유황앵무\0003_00000553.jpg,8,140,42,239,3
dataset\0003백색유황앵무\0003_00000451.jpg,34,154,6,64,3
dataset\0003백색유황앵무\0003_00000589.jpg,81,203,25,206,3
dataset\0003백색유황앵무\0003_00000449.jpg,45,208,8,84,3
dataset\0003백색유황앵무\0003_00000520.jpg,104,219,40,96,3
dataset\0003백색유황앵무\0003_00000425.jpg,168,293,107,290,3
dataset\0003백색유황앵무\0003_00000490.jpg,127,171,87,128,3
dataset\0003백색유황앵무\0003_00000506.jpg,13,258,13,242,3
dataset\0003백색유황앵무\0003_00000381.jpg,140,230,45,109,3
dataset\0003백색유황앵무\0003_00000641.jpg,83,150,53,148,3
dataset\0003백색유황앵무\0003_00000440.jpg,54,150,53,128,3
dataset\0003백색유황앵무\0003_00000378.jpg,168,289,14,89,3
dataset\0003백색유황앵무\0003_00000557.jpg,57,198,6,136,3
dataset\0003백색유황앵무\0003_00000458.jpg,104,267,34,175,3
dataset\0003백색유황앵무\0003_00000497.jpg,93,164,54,127,3
dataset\0003백색유황앵무\0003_00000472.jpg,97,190,65,168,3
dataset\0003백색유황앵무\0003_00000367.jpg,124,206,22,89,3
dataset\0003백색유황앵무\0003_00000597.jpg,107,231,18,87,3
dataset\0003백색유황앵무\0003_00000393.jpg,32,231,62,178,3
dataset\0003백색유황앵무\0003_00000371.jpg,155,254,32,158,3
dataset\0003백색유황앵무\0003_00000481.jpg,70,245,14,168,3
dataset\0003백색유황앵무\0003_00000548.jpg,73,215,42,132,3
dataset\0003백색유황앵무\0003_00000632.jpg,14,258,13,220,3
dataset\0003백색유황앵무\0003_00000519.jpg,87,150,60,151,3
dataset\0003백색유황앵무\0003_00000392.jpg,113,179,21,97,3
dataset\0003백색유황앵무\0003_00000411.jpg,101,194,33,100,3
dataset\0003백색유황앵무\0003_00000484.jpg,54,279,20,215,3
dataset\0003백색유황앵무\0003_00000477.jpg,26,242,26,194,3
dataset\0003백색유황앵무\0003_00000631.jpg,61,156,38,135,3
dataset\0003백색유황앵무\0003_00000551.jpg,152,239,26,93,3
dataset\0003백색유황앵무\0003_00000433.jpg,88,266,8,108,3
dataset\0003백색유황앵무\0003_00000640.jpg,54,162,26,148,3
dataset\0003백색유황앵무\0003_00000386.jpg,14,250,14,179,3
dataset\0003백색유황앵무\0003_00000463.jpg,100,191,14,139,3
dataset\0003백색유황앵무\0003_00000555.jpg,64,226,21,158,3
dataset\0003백색유황앵무\0003_00000486.jpg,85,211,12,231,3
dataset\0003백색유황앵무\0003_00000586.jpg,20,263,53,220,3
dataset\0003백색유황앵무\0003_00000524.jpg,5,133,13,111,3
dataset\0003백색유황앵무\0003_00000636.jpg,92,215,49,162,3
dataset\0003백색유황앵무\0003_00000459.jpg,37,104,103,171,3
dataset\0003백색유황앵무\0003_00000450.jpg,20,151,12,140,3
dataset\0003백색유황앵무\0003_00000438.jpg,160,279,34,175,3
dataset\0003백색유황앵무\0003_00000574.jpg,136,253,25,95,3
dataset\0003백색유황앵무\0003_00000625.jpg,128,289,13,145,3
dataset\0003백색유황앵무\0003_00000591.jpg,30,124,48,219,3
dataset\0003백색유황앵무\0003_00000544.jpg,64,168,24,85,3
dataset\0003백색유황앵무\0003_00000406.jpg,49,275,61,222,3
dataset\0003백색유황앵무\0003_00000684.jpg,25,135,18,119,3
dataset\0003백색유황앵무\0003_00000374.jpg,13,164,13,144,3
dataset\0003백색유황앵무\0003_00000669.jpg,68,262,16,154,3
dataset\0003백색유황앵무\0003_00000651.jpg,60,239,13,145,3
dataset\0003백색유황앵무\0003_00000588.jpg,101,203,109,159,3
dataset\0003백색유황앵무\0003_00000467.jpg,172,269,33,103,3
dataset\0003백색유황앵무\0003_00000666.jpg,101,196,21,85,3
dataset\0003백색유황앵무\0003_00000615.jpg,17,222,45,286,3
dataset\0003백색유황앵무\0003_00000528.jpg,124,163,80,113,3
dataset\0003백색유황앵무\0003_00000353.jpg,70,186,53,123,3
dataset\0003백색유황앵무\0003_00000379.jpg,70,245,6,97,3
dataset\0003백색유황앵무\0003_00000515.jpg,111,163,111,198,3
dataset\0003백색유황앵무\0003_00000550.jpg,66,170,14,87,3
dataset\0003백색유황앵무\0003_00000533.jpg,72,238,13,200,3
dataset\0003백색유황앵무\0003_00000424.jpg,45,164,25,120,3
dataset\0003백색유황앵무\0003_00000681.jpg,21,141,13,141,3
dataset\0003백색유황앵무\0003_00000516.jpg,10,125,65,162,3
dataset\0003백색유황앵무\0003_00000432.jpg,166,278,25,104,3
dataset\0003백색유황앵무\0003_00000644.jpg,69,178,25,115,3
dataset\0003백색유황앵무\0003_00000413.jpg,61,218,26,231,3
dataset\0003백색유황앵무\0003_00000358.jpg,128,162,99,155,3
dataset\0003백색유황앵무\0003_00000611.jpg,99,290,14,289,3
dataset\0003백색유황앵무\0003_00000351.jpg,95,174,25,89,3
dataset\0003백색유황앵무\0003_00000601.jpg,124,229,70,164,3
dataset\0003백색유황앵무\0003_00000609.jpg,42,281,18,262,3
dataset\0003백색유황앵무\0003_00000443.jpg,123,174,20,99,3
dataset\0003백색유황앵무\0003_00000420.jpg,117,231,56,123,3
dataset\0003백색유황앵무\0003_00000552.jpg,20,237,40,174,3
dataset\0003백색유황앵무\0003_00000648.jpg,41,223,41,249,3
dataset\0003백색유황앵무\0003_00000396.jpg,88,225,22,167,3
dataset\0003백색유황앵무\0003_00000352.jpg,68,204,65,160,3
dataset\0003백색유황앵무\0003_00000465.jpg,61,150,13,119,3
dataset\0003백색유황앵무\0003_00000630.jpg,133,229,58,148,3
dataset\0003백색유황앵무\0003_00000452.jpg,46,162,17,125,3
dataset\0003백색유황앵무\0003_00000426.jpg,194,287,12,152,3
dataset\0003백색유황앵무\0003_00000370.jpg,89,210,41,115,3
dataset\0003백색유황앵무\0003_00000445.jpg,60,239,13,143,3
dataset\0003백색유황앵무\0003_00000501.jpg,141,216,77,137,3
dataset\0003백색유황앵무\0003_00000369.jpg,38,182,10,84,3
dataset\0003백색유황앵무\0003_00000668.jpg,95,171,48,121,3
dataset\0003백색유황앵무\0003_00000623.jpg,136,233,32,97,3
dataset\0003백색유황앵무\0003_00000578.jpg,107,203,28,93,3
dataset\0003백색유황앵무\0003_00000647.jpg,38,218,20,190,3
dataset\0003백색유황앵무\0003_00000359.jpg,61,247,36,266,3
dataset\0003백색유황앵무\0003_00000580.jpg,44,135,13,81,3
dataset\0003백색유황앵무\0003_00000429.jpg,123,187,37,97,3
dataset\0003백색유황앵무\0003_00000561.jpg,48,243,64,219,3
dataset\0003백색유황앵무\0003_00000595.jpg,81,206,92,151,3
dataset\0003백색유황앵무\0003_00000525.jpg,128,179,58,148,3
dataset\0003백색유황앵무\0003_00000594.jpg,140,194,48,105,3
dataset\0003백색유황앵무\0003_00000409.jpg,137,255,53,150,3
dataset\0003백색유황앵무\0003_00000563.jpg,48,170,62,132,3
dataset\0003백색유황앵무\0003_00000645.jpg,105,214,24,91,3
dataset\0003백색유황앵무\0003_00000388.jpg,14,127,9,80,3
dataset\0003백색유황앵무\0003_00000547.jpg,79,226,38,184,3
dataset\0003백색유황앵무\0003_00000419.jpg,25,218,22,191,3
dataset\0003백색유황앵무\0003_00000498.jpg,69,183,61,163,3
dataset\0003백색유황앵무\0003_00000349.jpg,121,283,28,101,3
dataset\0003백색유황앵무\0003_00000504.jpg,186,274,12,133,3
dataset\0003백색유황앵무\0003_00000654.jpg,37,186,91,176,3
dataset\0003백색유황앵무\0003_00000546.jpg,87,170,109,166,3
dataset\0003백색유황앵무\0003_00000478.jpg,40,237,46,231,3
dataset\0003백색유황앵무\0003_00000397.jpg,25,270,14,164,3
dataset\0003백색유황앵무\0003_00000454.jpg,95,167,45,112,3
dataset\0003백색유황앵무\0003_00000385.jpg,76,238,33,120,3
dataset\0003백색유황앵무\0003_00000421.jpg,124,195,45,105,3
dataset\0003백색유황앵무\0003_00000627.jpg,40,222,20,156,3
dataset\0003백색유황앵무\0003_00000514.jpg,120,258,68,222,3
dataset\0003백색유황앵무\0003_00000422.jpg,113,225,13,109,3
dataset\0003백색유황앵무\0003_00000468.jpg,127,166,76,113,3
dataset\0003백색유황앵무\0003_00000511.jpg,13,281,52,247,3
dataset\0003백색유황앵무\0003_00000585.jpg,20,162,18,92,3
dataset\0003백색유황앵무\0003_00000596.jpg,112,206,9,143,3
dataset\0003백색유황앵무\0003_00000496.jpg,116,226,60,144,3
dataset\0003백색유황앵무\0003_00000658.jpg,112,281,50,227,3
dataset\0003백색유황앵무\0003_00000571.jpg,72,180,56,124,3
dataset\0003백색유황앵무\0003_00000513.jpg,88,180,40,105,3
dataset\0003백색유황앵무\0003_00000372.jpg,99,163,41,155,3
dataset\0003백색유황앵무\0003_00000674.jpg,162,231,34,100,3
dataset\0003백색유황앵무\0003_00000473.jpg,60,230,17,208,3
dataset\0003백색유황앵무\0003_00000531.jpg,42,159,25,93,3
dataset\0003백색유황앵무\0003_00000672.jpg,62,211,10,112,3
dataset\0003백색유황앵무\0003_00000565.jpg,129,199,44,135,3
dataset\0003백색유황앵무\0003_00000671.jpg,46,155,5,68,3
dataset\0003백색유황앵무\0003_00000646.jpg,92,234,26,158,3
dataset\0003백색유황앵무\0003_00000375.jpg,40,143,34,96,3
dataset\0003백색유황앵무\0003_00000616.jpg,13,187,13,271,3
dataset\0003백색유황앵무\0003_00000389.jpg,80,199,29,97,3
dataset\0003백색유황앵무\0003_00000600.jpg,84,282,29,176,3
dataset\0003백색유황앵무\0003_00000603.jpg,132,233,45,123,3
dataset\0003백색유황앵무\0003_00000537.jpg,199,269,34,100,3
dataset\0003백색유황앵무\0003_00000622.jpg,125,208,28,105,3
dataset\0003백색유황앵무\0003_00000346.jpg,56,178,13,162,3
dataset\0003백색유황앵무\0003_00000482.jpg,91,204,34,174,3
dataset\0003백색유황앵무\0003_00000682.jpg,97,234,33,155,3
dataset\0003백색유황앵무\0003_00000664.jpg,89,176,36,109,3
dataset\0003백색유황앵무\0003_00000536.jpg,152,196,77,132,3
dataset\0003백색유황앵무\0003_00000354.jpg,88,154,52,151,3
dataset\0003백색유황앵무\0003_00000365.jpg,9,148,12,72,3
dataset\0003백색유황앵무\0003_00000444.jpg,42,226,28,212,3
dataset\0003백색유황앵무\0003_00000474.jpg,111,243,41,133,3
dataset\0003백색유황앵무\0003_00000377.jpg,92,219,46,163,3
dataset\0003백색유황앵무\0003_00000558.jpg,58,253,37,124,3
dataset\0003백색유황앵무\0003_00000407.jpg,22,164,17,104,3
dataset\0003백색유황앵무\0003_00000437.jpg,100,190,108,160,3
dataset\0003백색유황앵무\0003_00000532.jpg,65,231,49,237,3
dataset\0003백색유황앵무\0003_00000610.jpg,127,166,79,115,3
dataset\0003백색유황앵무\0003_00000471.jpg,84,233,22,151,3
dataset\0003백색유황앵무\0003_00000564.jpg,156,259,22,92,3
dataset\0003백색유황앵무\0003_00000431.jpg,26,143,52,227,3
dataset\0003백색유황앵무\0003_00000457.jpg,66,203,24,137,3
dataset\0003백색유황앵무\0003_00000660.jpg,85,192,66,219,3
dataset\0003백색유황앵무\0003_00000507.jpg,91,190,66,222,3
dataset\0003백색유황앵무\0003_00000649.jpg,56,218,24,171,3
dataset\0003백색유황앵무\0003_00000384.jpg,66,275,53,227,3
dataset\0003백색유황앵무\0003_00000605.jpg,89,159,57,115,3
dataset\0003백색유황앵무\0003_00000673.jpg,37,211,65,178,3
dataset\0003백색유황앵무\0003_00000446.jpg,41,242,13,109,3
dataset\0003백색유황앵무\0003_00000534.jpg,54,187,8,123,3
dataset\0003백색유황앵무\0003_00000489.jpg,65,207,13,113,3
dataset\0003백색유황앵무\0003_00000677.jpg,84,281,28,172,3
dataset\0003백색유황앵무\0003_00000624.jpg,81,199,29,91,3
dataset\0003백색유황앵무\0003_00000568.jpg,163,251,112,191,3
dataset\0003백색유황앵무\0003_00000488.jpg,60,222,37,178,3
dataset\0003백색유황앵무\0003_00000567.jpg,88,269,13,107,3
dataset\0003백색유황앵무\0003_00000493.jpg,141,249,14,85,3
dataset\0003백색유황앵무\0003_00000390.jpg,133,200,36,108,3
dataset\0003백색유황앵무\0003_00000535.jpg,107,199,26,85,3
dataset\0003백색유황앵무\0003_00000593.jpg,108,246,53,139,3
dataset\0003백색유황앵무\0003_00000599.jpg,99,188,64,171,3
dataset\0003백색유황앵무\0003_00000408.jpg,79,214,26,226,3
dataset\0003백색유황앵무\0003_00000665.jpg,100,254,14,174,3
dataset\0003백색유황앵무\0003_00000347.jpg,120,263,54,198,3
dataset\0003백색유황앵무\0003_00000510.jpg,113,198,24,133,3
dataset\0003백색유황앵무\0003_00000634.jpg,72,254,25,206,3
dataset\0003백색유황앵무\0003_00000430.jpg,92,237,20,100,3
dataset\0003백색유황앵무\0003_00000604.jpg,13,250,13,174,3
dataset\0003백색유황앵무\0003_00000572.jpg,137,214,14,89,3
dataset\0003백색유황앵무\0003_00000350.jpg,89,227,5,196,3
dataset\0003백색유황앵무\0003_00000434.jpg,112,183,84,131,3
dataset\0003백색유황앵무\0003_00000435.jpg,60,182,13,178,3
dataset\0003백색유황앵무\0003_00000487.jpg,178,279,20,158,3
dataset\0003백색유황앵무\0003_00000395.jpg,76,215,20,227,3
dataset\0003백색유황앵무\0003_00000453.jpg,18,271,14,167,3
dataset\0003백색유황앵무\0003_00000655.jpg,168,269,70,160,3
dataset\0003백색유황앵무\0003_00000441.jpg,164,281,32,159,3
dataset\0003백색유황앵무\0003_00000464.jpg,45,226,9,208,3
dataset\0003백색유황앵무\0003_00000542.jpg,32,176,0,68,3
dataset\0003백색유황앵무\0003_00000526.jpg,145,250,61,155,3
dataset\0003백색유황앵무\0003_00000554.jpg,143,250,57,147,3
dataset\0003백색유황앵무\0003_00000678.jpg,79,239,10,92,3
dataset\0003백색유황앵무\0003_00000608.jpg,57,229,9,172,3
dataset\0003백색유황앵무\0003_00000448.jpg,58,251,41,125,3
dataset\0003백색유황앵무\0003_00000545.jpg,61,207,13,163,3
dataset\0003백색유황앵무\0003_00000676.jpg,64,137,16,119,3
dataset\0003백색유황앵무\0003_00000606.jpg,60,187,9,125,3
dataset\0003백색유황앵무\0003_00000436.jpg,72,184,28,101,3
dataset\0003백색유황앵무\0003_00000410.jpg,13,168,17,115,3
dataset\0003백색유황앵무\0003_00000602.jpg,21,210,9,80,3
dataset\0003백색유황앵무\0003_00000394.jpg,33,287,16,270,3
dataset\0003백색유황앵무\0003_00000398.jpg,107,229,13,144,3
dataset\0003백색유황앵무\0003_00000570.jpg,198,274,13,133,3
dataset\0003백색유황앵무\0003_00000483.jpg,48,159,60,147,3
dataset\0003백색유황앵무\0003_00000461.jpg,68,263,13,156,3
dataset\0003백색유황앵무\0003_00000376.jpg,148,253,28,96,3
dataset\0003백색유황앵무\0003_00000362.jpg,84,164,65,123,3
dataset\0003백색유황앵무\0003_00000399.jpg,53,294,21,212,3
dataset\0003백색유황앵무\0003_00000521.jpg,64,247,5,175,3
dataset\0003백색유황앵무\0003_00000577.jpg,115,225,14,141,3
dataset\0003백색유황앵무\0003_00000366.jpg,18,212,4,76,3
dataset\0003백색유황앵무\0003_00000447.jpg,58,234,44,191,3
dataset\0003백색유황앵무\0003_00000581.jpg,73,202,50,104,3
dataset\0003백색유황앵무\0003_00000495.jpg,25,175,6,69,3
dataset\0003백색유황앵무\0003_00000633.jpg,85,259,14,162,3
dataset\0003백색유황앵무\0003_00000573.jpg,199,289,13,151,3
dataset\0003백색유황앵무\0003_00000643.jpg,66,163,57,168,3
dataset\0003백색유황앵무\0003_00000587.jpg,123,175,85,127,3
dataset\0003백색유황앵무\0003_00000522.jpg,117,175,44,89,3
dataset\0003백색유황앵무\0003_00000582.jpg,34,160,12,113,3
dataset\0003백색유황앵무\0003_00000356.jpg,108,198,12,131,3
dataset\0003백색유황앵무\0003_00000373.jpg,111,241,4,93,3
dataset\0003백색유황앵무\0003_00000494.jpg,33,200,29,234,3
dataset\0004붉은관유황앵무\0004_00000036.jpg,66,143,41,101,4
dataset\0004붉은관유황앵무\0004_00000193.jpg,135,203,14,119,4
dataset\0004붉은관유황앵무\0004_00000135.jpg,70,167,53,145,4
dataset\0004붉은관유황앵무\0004_00000114.jpg,129,208,53,136,4
dataset\0004붉은관유황앵무\0004_00000124.jpg,145,235,50,139,4
dataset\0004붉은관유황앵무\0004_00000125.jpg,145,235,50,139,4
dataset\0004붉은관유황앵무\0004_00000146.jpg,24,120,56,148,4
dataset\0004붉은관유황앵무\0004_00000118.jpg,152,231,54,137,4
dataset\0004붉은관유황앵무\0004_00000241.jpg,144,215,48,117,4
dataset\0004붉은관유황앵무\0004_00000136.jpg,69,166,52,144,4
dataset\0004붉은관유황앵무\0004_00000122.jpg,150,239,50,139,4
dataset\0004붉은관유황앵무\0004_00000166.jpg,136,229,53,141,4
dataset\0004붉은관유황앵무\0004_00000152.jpg,50,143,62,151,4
dataset\0004붉은관유황앵무\0004_00000227.jpg,145,245,30,123,4
dataset\0004붉은관유황앵무\0004_00000109.jpg,128,211,49,136,4
dataset\0004붉은관유황앵무\0004_00000113.jpg,128,207,50,133,4
dataset\0004붉은관유황앵무\0004_00000181.jpg,158,226,20,124,4
dataset\0004붉은관유황앵무\0004_00000024.jpg,85,166,36,99,4
dataset\0004붉은관유황앵무\0004_00000017.jpg,96,176,29,92,4
dataset\0004붉은관유황앵무\0004_00000120.jpg,151,241,52,140,4
dataset\0004붉은관유황앵무\0004_00000164.jpg,139,231,58,147,4
dataset\0004붉은관유황앵무\0004_00000080.jpg,187,241,112,162,4
dataset\0004붉은관유황앵무\0004_00000013.jpg,84,164,26,89,4
dataset\0004붉은관유황앵무\0004_00000172.jpg,156,225,25,129,4
dataset\0004붉은관유황앵무\0004_00000178.jpg,147,215,25,129,4
dataset\0004붉은관유황앵무\0004_00000130.jpg,52,148,53,152,4
dataset\0004붉은관유황앵무\0004_00000041.jpg,66,143,36,96,4
dataset\0004붉은관유황앵무\0004_00000059.jpg,164,218,109,159,4
dataset\0004붉은관유황앵무\0004_00000110.jpg,125,208,48,135,4
dataset\0004붉은관유황앵무\0004_00000039.jpg,69,145,40,100,4
dataset\0004붉은관유황앵무\0004_00000196.jpg,125,191,16,115,4
dataset\0004붉은관유황앵무\0004_00000037.jpg,68,144,40,100,4
dataset\0004붉은관유황앵무\0004_00000150.jpg,34,127,61,150,4
dataset\0004붉은관유황앵무\0004_00000138.jpg,69,166,48,140,4
dataset\0004붉은관유황앵무\0004_00000007.jpg,60,140,30,93,4
dataset\0004붉은관유황앵무\0004_00000047.jpg,143,206,109,159,4
dataset\0004붉은관유황앵무\0004_00000086.jpg,155,234,56,139,4
dataset\0004붉은관유황앵무\0004_00000214.jpg,76,176,54,119,4
dataset\0004붉은관유황앵무\0004_00000175.jpg,145,214,26,131,4
dataset\0004붉은관유황앵무\0004_00000068.jpg,172,226,112,162,4
dataset\0004붉은관유황앵무\0004_00000077.jpg,180,234,101,151,4
dataset\0004붉은관유황앵무\0004_00000083.jpg,188,242,116,166,4
dataset\0004붉은관유황앵무\0004_00000057.jpg,155,218,108,158,4
dataset\0004붉은관유황앵무\0004_00000000.jpg,88,168,45,108,4
dataset\0004붉은관유황앵무\0004_00000073.jpg,178,231,113,163,4
dataset\0004붉은관유황앵무\0004_00000097.jpg,148,227,53,136,4
dataset\0004붉은관유황앵무\0004_00000063.jpg,168,222,109,159,4
dataset\0004붉은관유황앵무\0004_00000161.jpg,113,206,60,148,4
dataset\0004붉은관유황앵무\0004_00000049.jpg,145,208,109,159,4
dataset\0004붉은관유황앵무\0004_00000157.jpg,91,183,58,147,4
dataset\0004붉은관유황앵무\0004_00000190.jpg,147,215,14,119,4
dataset\0004붉은관유황앵무\0004_00000069.jpg,174,227,111,160,4
dataset\0004붉은관유황앵무\0004_00000204.jpg,101,179,13,108,4
dataset\0004붉은관유황앵무\0004_00000031.jpg,77,154,41,101,4
dataset\0004붉은관유황앵무\0004_00000032.jpg,72,148,42,103,4
dataset\0004붉은관유황앵무\0004_00000055.jpg,154,216,108,158,4
dataset\0004붉은관유황앵무\0004_00000098.jpg,147,226,53,136,4
dataset\0004붉은관유황앵무\0004_00000050.jpg,144,207,111,160,4
dataset\0004붉은관유황앵무\0004_00000071.jpg,175,229,111,160,4
dataset\0004붉은관유황앵무\0004_00000144.jpg,61,158,53,145,4
dataset\0004붉은관유황앵무\0004_00000002.jpg,70,151,41,104,4
dataset\0004붉은관유황앵무\0004_00000016.jpg,93,174,28,91,4
dataset\0004붉은관유황앵무\0004_00000065.jpg,170,223,111,160,4
dataset\0004붉은관유황앵무\0004_00000127.jpg,30,127,49,148,4
dataset\0004붉은관유황앵무\0004_00000084.jpg,156,235,54,137,4
dataset\0004붉은관유황앵무\0004_00000054.jpg,154,216,107,156,4
dataset\0004붉은관유황앵무\0004_00000171.jpg,158,226,26,131,4
dataset\0004붉은관유황앵무\0004_00000015.jpg,93,174,28,91,4
dataset\0004붉은관유황앵무\0004_00000179.jpg,151,219,24,128,4
dataset\0004붉은관유황앵무\0004_00000035.jpg,68,144,42,103,4
dataset\0004붉은관유황앵무\0004_00000003.jpg,66,147,36,99,4
dataset\0004붉은관유황앵무\0004_00000202.jpg,112,174,14,109,4
dataset\0004붉은관유황앵무\0004_00000101.jpg,141,220,56,139,4
dataset\0004붉은관유황앵무\0004_00000023.jpg,85,166,34,97,4
dataset\0004붉은관유황앵무\0004_00000188.jpg,155,223,14,119,4
dataset\0004붉은관유황앵무\0004_00000131.jpg,58,155,54,154,4
dataset\0004붉은관유황앵무\0004_00000111.jpg,129,208,48,131,4
dataset\0004붉은관유황앵무\0004_00000089.jpg,147,226,57,140,4
dataset\0004붉은관유황앵무\0004_00000205.jpg,101,179,13,108,4
dataset\0004붉은관유황앵무\0004_00000199.jpg,121,183,17,112,4
dataset\0004붉은관유황앵무\0004_00000034.jpg,62,139,41,101,4
dataset\0004붉은관유황앵무\0004_00000223.jpg,38,137,24,111,4
dataset\0004붉은관유황앵무\0004_00000158.jpg,95,187,60,148,4
dataset\0004붉은관유황앵무\0004_00000103.jpg,141,220,53,136,4
dataset\0004붉은관유황앵무\0004_00000246.jpg,87,154,25,73,4
dataset\0004붉은관유황앵무\0004_00000169.jpg,160,229,34,139,4
dataset\0004붉은관유황앵무\0004_00000011.jpg,70,151,28,91,4
dataset\0004붉은관유황앵무\0004_00000082.jpg,186,239,115,164,4
dataset\0004붉은관유황앵무\0004_00000200.jpg,120,182,16,111,4
dataset\0004붉은관유황앵무\0004_00000239.jpg,52,115,60,133,4
dataset\0004붉은관유황앵무\0004_00000183.jpg,168,237,18,123,4
dataset\0004붉은관유황앵무\0004_00000243.jpg,109,167,68,125,4
dataset\0004붉은관유황앵무\0004_00000234.jpg,125,257,25,132,4
dataset\0004붉은관유황앵무\0004_00000062.jpg,171,225,109,159,4
dataset\0004붉은관유황앵무\0004_00000108.jpg,131,214,50,137,4
dataset\0004붉은관유황앵무\0004_00000046.jpg,133,196,92,141,4
dataset\0004붉은관유황앵무\0004_00000022.jpg,85,166,34,97,4
dataset\0004붉은관유황앵무\0004_00000001.jpg,81,162,44,107,4
dataset\0004붉은관유황앵무\0004_00000170.jpg,159,227,30,135,4
dataset\0004붉은관유황앵무\0004_00000212.jpg,95,214,44,108,4
dataset\0004붉은관유황앵무\0004_00000043.jpg,150,210,91,137,4
dataset\0004붉은관유황앵무\0004_00000247.jpg,125,196,37,87,4
dataset\0004붉은관유황앵무\0004_00000216.jpg,79,155,56,105,4
dataset\0004붉은관유황앵무\0004_00000079.jpg,186,239,104,154,4
dataset\0004붉은관유황앵무\0004_00000087.jpg,154,233,54,137,4
dataset\0004붉은관유황앵무\0004_00000221.jpg,127,222,30,105,4
dataset\0004붉은관유황앵무\0004_00000090.jpg,147,226,60,143,4
dataset\0004붉은관유황앵무\0004_00000194.jpg,131,199,13,117,4
dataset\0004붉은관유황앵무\0004_00000236.jpg,139,263,37,140,4
dataset\0004붉은관유황앵무\0004_00000207.jpg,105,183,17,112,4
dataset\0004붉은관유황앵무\0004_00000094.jpg,156,235,52,135,4
dataset\0004붉은관유황앵무\0004_00000201.jpg,117,179,16,111,4
dataset\0004붉은관유황앵무\0004_00000053.jpg,154,216,107,156,4
dataset\0004붉은관유황앵무\0004_00000147.jpg,16,108,60,148,4
dataset\0004붉은관유황앵무\0004_00000076.jpg,176,230,115,164,4
dataset\0004붉은관유황앵무\0004_00000081.jpg,187,241,113,163,4
dataset\0004붉은관유황앵무\0004_00000195.jpg,129,195,17,116,4
dataset\0004붉은관유황앵무\0004_00000010.jpg,64,144,28,91,4
dataset\0004붉은관유황앵무\0004_00000116.jpg,143,222,53,136,4
dataset\0004붉은관유황앵무\0004_00000027.jpg,81,158,37,97,4
dataset\0004붉은관유황앵무\0004_00000242.jpg,113,219,60,129,4
dataset\0004붉은관유황앵무\0004_00000213.jpg,81,200,34,99,4
dataset\0004붉은관유황앵무\0004_00000155.jpg,75,167,61,150,4
dataset\0004붉은관유황앵무\0004_00000228.jpg,108,188,16,107,4
dataset\0004붉은관유황앵무\0004_00000100.jpg,144,223,54,137,4
dataset\0004붉은관유황앵무\0004_00000197.jpg,123,188,16,115,4
dataset\0004붉은관유황앵무\0004_00000121.jpg,156,246,48,136,4
dataset\0004붉은관유황앵무\0004_00000229.jpg,56,127,24,108,4
dataset\0004붉은관유황앵무\0004_00000139.jpg,75,171,48,140,4
dataset\0004붉은관유황앵무\0004_00000159.jpg,101,194,61,150,4
dataset\0004붉은관유황앵무\0004_00000119.jpg,152,237,54,137,4
dataset\0004붉은관유황앵무\0004_00000219.jpg,69,154,38,97,4
dataset\0004붉은관유황앵무\0004_00000044.jpg,137,200,85,135,4
dataset\0004붉은관유황앵무\0004_00000162.jpg,120,212,56,144,4
dataset\0004붉은관유황앵무\0004_00000112.jpg,128,207,48,131,4
dataset\0004붉은관유황앵무\0004_00000210.jpg,108,191,24,119,4
dataset\0004붉은관유황앵무\0004_00000156.jpg,83,175,57,145,4
dataset\0004붉은관유황앵무\0004_00000085.jpg,151,230,57,140,4
dataset\0004붉은관유황앵무\0004_00000038.jpg,68,144,40,100,4
dataset\0004붉은관유황앵무\0004_00000051.jpg,147,210,109,159,4
dataset\0004붉은관유황앵무\0004_00000165.jpg,143,235,54,143,4
dataset\0004붉은관유황앵무\0004_00000093.jpg,145,225,56,139,4
dataset\0004붉은관유황앵무\0004_00000142.jpg,84,180,50,143,4
dataset\0004붉은관유황앵무\0004_00000107.jpg,131,214,50,137,4
dataset\0004붉은관유황앵무\0004_00000206.jpg,103,180,14,109,4
dataset\0004붉은관유황앵무\0004_00000134.jpg,68,164,53,145,4
dataset\0004붉은관유황앵무\0004_00000092.jpg,145,225,58,141,4
dataset\0004붉은관유황앵무\0004_00000104.jpg,140,219,53,136,4
dataset\0004붉은관유황앵무\0004_00000184.jpg,166,234,18,123,4
dataset\0004붉은관유황앵무\0004_00000048.jpg,150,212,109,159,4
dataset\0004붉은관유황앵무\0004_00000099.jpg,145,225,54,137,4
dataset\0004붉은관유황앵무\0004_00000014.jpg,88,168,28,91,4
dataset\0004붉은관유황앵무\0004_00000029.jpg,83,159,38,99,4
dataset\0004붉은관유황앵무\0004_00000009.jpg,60,140,28,91,4
dataset\0004붉은관유황앵무\0004_00000140.jpg,72,168,50,143,4
dataset\0004붉은관유황앵무\0004_00000182.jpg,166,234,22,127,4
